index	Region	Practice	Efficacy	Year of adoption	ACDNB	Last profitable year	Age adoption pays off	Breakeven probability
napaDP25y3	Napa	Delayed Pruning	25.0	3.0	$46,720	18	3.0	0.0
napaDP25y5	Napa	Delayed Pruning	25.0	5.0	$37,880	17	5.0	0.0
napaDP25y10	Napa	Delayed Pruning	25.0	10.0	$16,159	16	10.0	0.0
napaDP50y3	Napa	Delayed Pruning	50.0	3.0	$114,680	25	3.0	0.0
napaDP50y5	Napa	Delayed Pruning	50.0	5.0	$96,944	24	5.0	0.0
napaDP50y10	Napa	Delayed Pruning	50.0	10.0	$44,205	19	10.0	0.0
napaDP75y3	Napa	Delayed Pruning	75.0	3.0	$155,303	25	3.0	0.0
napaDP75y5	Napa	Delayed Pruning	75.0	5.0	$147,388	25	5.0	0.0
napaDP75y10	Napa	Delayed Pruning	75.0	10.0	$89,863	25	10.0	0.0
napaDBP25y3	Napa	Double Pruning	25.0	3.0	$46,720	18	10	0.159
napaDBP25y5	Napa	Double Pruning	25.0	5.0	$37,880	17	9	0.173
napaDBP25y10	Napa	Double Pruning	25.0	10.0	$16,159	15	11	0.285
napaDBP50y3	Napa	Double Pruning	50.0	3.0	$114,680	25	9	0.065
napaDBP50y5	Napa	Double Pruning	50.0	5.0	$96,944	24	8	0.068
napaDBP50y10	Napa	Double Pruning	50.0	10.0	$44,205	19	10	0.104
napaDBP75y3	Napa	Double Pruning	75.0	3.0	$155,303	25	8	0.048
napaDBP75y5	Napa	Double Pruning	75.0	5.0	$147,388	25	8	0.044
napaDBP75y10	Napa	Double Pruning	75.0	10.0	$89,863	25	10	0.051
napaHP25y3	Napa	Hand painted Topsin	25.0	3.0	$45,614	18	6	0.024
napaHP25y5	Napa	Hand painted Topsin	25.0	5.0	$36,903	17	6	0.026
napaHP25y10	Napa	Hand painted Topsin	25.0	10.0	$15,472	15	10	0.043
napaHP50y3	Napa	Hand painted Topsin	50.0	3.0	$113,574	25	5	0.01
napaHP50y5	Napa	Hand painted Topsin	50.0	5.0	$95,967	24	5	0.01
napaHP50y10	Napa	Hand painted Topsin	50.0	10.0	$43,517	19	10	0.016
napaHP75y3	Napa	Hand painted Topsin	75.0	3.0	$154,197	25	4	0.007
napaHP75y5	Napa	Hand painted Topsin	75.0	5.0	$146,410	25	5	0.007
napaHP75y10	Napa	Hand painted Topsin	75.0	10.0	$89,175	25	10	0.008
nsjDP25y3	Northern San Joaquin	Delayed Pruning	25.0	3.0	$12,993	15	3.0	0.0
nsjDP25y5	Northern San Joaquin	Delayed Pruning	25.0	5.0	$10,534	15	5.0	0.0
nsjDP25y10	Northern San Joaquin	Delayed Pruning	25.0	10.0	$4,494	13	10.0	0.0
nsjDP50y3	Northern San Joaquin	Delayed Pruning	50.0	3.0	$31,892	22	3.0	0.0
nsjDP50y5	Northern San Joaquin	Delayed Pruning	50.0	5.0	$26,960	20	5.0	0.0
nsjDP50y10	Northern San Joaquin	Delayed Pruning	50.0	10.0	$12,293	15	10.0	0.0
nsjDP75y3	Northern San Joaquin	Delayed Pruning	75.0	3.0	$43,189	25	3.0	0.0
nsjDP75y5	Northern San Joaquin	Delayed Pruning	75.0	5.0	$40,988	25	5.0	0.0
nsjDP75y10	Northern San Joaquin	Delayed Pruning	75.0	10.0	$24,990	22	10.0	0.0
nsjDBP25y3	Northern San Joaquin	Double Pruning	25.0	3.0	$8,761	15	11	0.326
nsjDBP25y5	Northern San Joaquin	Double Pruning	25.0	5.0	$6,795	14	11	0.355
nsjDBP25y1	Northern San Joaquin	Double Pruning	25.0	10.0	$1,866	13	12	0.585
